"area","Reporting Economy","Year","value"
"ALB","Germany","2007","76.5491637003866"
"ALB","Greece","2007","766.963736305796"
"ALB","Hungary","2007","0"
"ALB","Italy","2007","323.861846424712"
"ALB","Netherlands","2007","403.35520872896"
"ALB","Romania","2007","2.94419860386102"
"ALB","Slovenia","2007","5.88839720772204"
"ALB","UnitedKingdom","2007","7.36049650965256"
"ALB","OtherdevelopedEurope","2007","22.0814895289577"
"ALB","Monaco","2007","1.47209930193051"
"ALB","Norway","2007","0"
"ALB","Switzerland","2007","20.6093902270272"
"ALB","NorthAmerica","2007","107.463249040927"
"ALB","Canada","2007","1.47209930193051"
"ALB","UnitedStates","2007","105.991149738997"
"ALB","Otherdevelopedcountries","2007","2.94419860386102"
"ALB","Israel","2007","2.94419860386102"
"ALB","Developingeconomies","2007","410.715705238613"
"ALB","Africa","2007","1.47209930193051"
"ALB","NorthAfrica","2007","1.47209930193051"
"ALB","Egypt","2007","1.47209930193051"
"ALB","Asia","2007","409.243605936682"
"ALB","EastAsia","2007","1.47209930193051"
"ALB","China","2007","1.47209930193051"
"ALB","WestAsia","2007","407.771506634752"
"ALB","Kuwait","2007","132.488937173746"
"ALB","Lebanon","2007","44.1629790579153"
"ALB","SaudiArabia","2007","0"
"ALB","Turkey","2007","226.703292497299"
"ALB","UnitedArabEmirates","2007","4.41629790579153"
"ALB","Transitioneconomies","2007","27.9698867366797"
"ALB","South-EastEurope","2007","27.9698867366797"
"ALB","Montenegro","2007","-1.47209930193051"
"ALB","TheFYRofMacedonia","2007","22.0814895289577"
"ALB","Yugoslavia(former)","2007","0"
"ALB","Unspecified","2007","220.814895289577"
"ALB","World","2008","2868.29235706552"
"ALB","Developedeconomies","2008","2317.1794150966"
"ALB","Europe","2008","2197.49327113365"
"ALB","EuropeanUnion","2008","2001.26366300835"
"ALB","Austria","2008","258.856078803584"
"ALB","Bulgaria","2008","20.8754902260955"
"ALB","Croatia","2008","2.78339869681273"
"ALB","Cyprus","2008","75.1517648139437"
"ALB","CzechRepublic","2008","0"
"ALB","France","2008","33.4007843617528"
"ALB","Germany","2008","91.8521569948201"
"ALB","Greece","2008","787.701831198003"
"ALB","Hungary","2008","4.1750980452191"
"ALB","Italy","2008","446.735490838443"
"ALB","Netherlands","2008","261.639477500397"
"ALB","Romania","2008","-1.39169934840637"
"ALB","Slovenia","2008","15.30869283247"
"ALB","UnitedKingdom","2008","4.1750980452191"
"ALB","OtherdevelopedEurope","2008","196.229608125297"
"ALB","Monaco","2008","5.56679739362546"
"ALB","Norway","2008","0"
"ALB","Switzerland","2008","190.662810731672"
"ALB","NorthAmerica","2008","115.511045917728"
"ALB","Canada","2008","11.1335947872509"
"ALB","UnitedStates","2008","104.377451130477"
"ALB","Otherdevelopedcountries","2008","4.1750980452191"
"ALB","Israel","2008","4.1750980452191"
"ALB","Developingeconomies","2008","449.518889535256"
"ALB","Africa","2008","1.39169934840637"
"ALB","NorthAfrica","2008","1.39169934840637"
"ALB","Egypt","2008","1.39169934840637"
"ALB","Asia","2008","448.127190186849"
"ALB","EastAsia","2008","0"
"ALB","China","2008","0"
"ALB","WestAsia","2008","448.127190186849"
"ALB","Kuwait","2008","116.902745266135"
"ALB","Lebanon","2008","55.6679739362546"
"ALB","SaudiArabia","2008","0"
"ALB","Turkey","2008","264.422876197209"
"ALB","UnitedArabEmirates","2008","11.1335947872509"
"ALB","Transitioneconomies","2008","58.4513726330673"
"ALB","South-EastEurope","2008","58.4513726330673"
"ALB","Montenegro","2008","0"
"ALB","TheFYRofMacedonia","2008","38.9675817553782"
"ALB","Yugoslavia(former)","2008","0"
"ALB","Unspecified","2008","43.1426798005973"
"ALB","World","2009","3257.19759995966"
"ALB","Developedeconomies","2009","2626.21460624788"
"ALB","Europe","2009","2440.37714919578"
"ALB","EuropeanUnion","2009","2271.82689745086"
"ALB","Austria","2009","318.372697740418"
"ALB","Bulgaria","2009","30.2526092875511"
"ALB","Croatia","2009","4.32180132679301"
"ALB","Cyprus","2009","72.0300221132168"
"ALB","CzechRepublic","2009","79.2330243245385"
"ALB","France","2009","37.4556114988727"
"ALB","Germany","2009","106.604432727561"
"ALB","Greece","2009","806.736247668028"
"ALB","Hungary","2009","1.44060044226434"
"ALB","Italy","2009","501.328953907989"
"ALB","Netherlands","2009","298.204291548717"
"ALB","Romania","2009","0"
"ALB","Slovenia","2009","23.0496070762294"
"ALB","UnitedKingdom","2009","-7.20300221132168"
"ALB","OtherdevelopedEurope","2009","168.550251744927"
"ALB","Monaco","2009","5.76240176905734"
"ALB","Norway","2009","7.20300221132168"
"ALB","Switzerland","2009","155.584847764548"
"ALB","NorthAmerica","2009","181.515655725306"
"ALB","Canada","2009","146.941245110962"
"ALB","UnitedStates","2009","34.5744106143441"
"ALB","Otherdevelopedcountries","2009","4.32180132679301"
"ALB","Israel","2009","4.32180132679301"
"ALB","Developingeconomies","2009","524.378560984218"
"ALB","Africa","2009","1.44060044226434"
"ALB","NorthAfrica","2009","1.44060044226434"
"ALB","Egypt","2009","1.44060044226434"
"ALB","Asia","2009","522.937960541954"
"ALB","EastAsia","2009","7.20300221132168"
"ALB","China","2009","7.20300221132168"
"ALB","WestAsia","2009","515.734958330632"
"ALB","Kuwait","2009","102.282631400768"
"ALB","Lebanon","2009","51.8616159215161"
"ALB","SaudiArabia","2009","0"
"ALB","Turkey","2009","338.541103932119"
"ALB","UnitedArabEmirates","2009","23.0496070762294"
"ALB","Transitioneconomies","2009","44.6586137101944"
"ALB","South-EastEurope","2009","44.6586137101944"
"ALB","Montenegro","2009","0"
"ALB","TheFYRofMacedonia","2009","31.6932097298154"
"ALB","Yugoslavia(former)","2009","0"
"ALB","Unspecified","2009","61.9458190173664"
"ALB","World","2010","3563.64520685043"
"ALB","Developedeconomies","2010","2904.89864255449"
"ALB","Europe","2010","2500.03006449837"
"ALB","EuropeanUnion","2010","2383.78067079909"
"ALB","Austria","2010","501.074972841736"
"ALB","Bulgaria","2010","24.0515986964033"
"ALB","Croatia","2010","13.3619992757796"
"ALB","Cyprus","2010","61.4651966685863"
"ALB","CzechRepublic","2010","-16.0343991309356"
"ALB","France","2010","53.4479971031186"
"ALB","Germany","2010","112.240793916549"
"ALB","Greece","2010","828.443955098338"
"ALB","Hungary","2010","4.00859978273389"
"ALB","Italy","2010","497.066373059003"
"ALB","Netherlands","2010","295.30018399473"
"ALB","Romania","2010","0"
"ALB","Slovenia","2010","12.0257993482017"
"ALB","UnitedKingdom","2010","-2.67239985515593"
"ALB","OtherdevelopedEurope","2010","116.249393699283"
"ALB","Monaco","2010","2.67239985515593"
"ALB","Norway","2010","17.3705990585135"
"ALB","Switzerland","2010","96.2063947856134"
"ALB","NorthAmerica","2010","400.859978273389"
"ALB","Canada","2010","392.842778707921"
"ALB","UnitedStates","2010","8.01719956546778"
"ALB","Otherdevelopedcountries","2010","4.00859978273389"
"ALB","Israel","2010","4.00859978273389"
"ALB","Developingeconomies","2010","537.152370886341"
"ALB","Africa","2010","1.33619992757796"
"ALB","NorthAfrica","2010","1.33619992757796"
"ALB","Egypt","2010","1.33619992757796"
"ALB","Asia","2010","535.816170958764"
"ALB","EastAsia","2010","2.67239985515593"
"ALB","China","2010","2.67239985515593"
"ALB","WestAsia","2010","533.143771103608"
"ALB","Kuwait","2010","94.8701948580354"
"ALB","Lebanon","2010","40.0859978273389"
"ALB","SaudiArabia","2010","0"
"ALB","Turkey","2010","375.472179649408"
"ALB","UnitedArabEmirates","2010","22.7153987688254"
"ALB","Transitioneconomies","2010","44.0945976100728"
"ALB","South-EastEurope","2010","44.0945976100728"
"ALB","Montenegro","2010","1.33619992757796"
"ALB","TheFYRofMacedonia","2010","29.3963984067152"
"ALB","Yugoslavia(former)","2010","0"
"ALB","Unspecified","2010","77.4995957995219"
"ALB","World","2011","3928.28168729791"
"ALB","Developedeconomies","2011","3290.3887782604"
"ALB","Europe","2011","2556.74723784607"
"ALB","EuropeanUnion","2011","2449.35350265314"
"ALB","Austria","2011","610.721000133272"
