"area","Reporting Economy","Year","value"
"AGO","France","2006","70.2510597246911"
"AGO","Italy","2006","0"
"AGO","Luxembourg","2006","0"
"AGO","Mozambique","2006","0"
"AGO","Portugal","2006","21.9823092777815"
"AGO","Sweden","2006","-3.70162301358723"
"AGO","UnitedStates","2006","41"
"AGO","Argentina","2007","1.433"
"AGO","Belgium","2007","0"
"AGO","France","2007","376.383380004872"
"AGO","Italy","2007","0"
"AGO","Luxembourg","2007","0"
"AGO","Mozambique","2007","0"
"AGO","Portugal","2007","5.99476074335033"
"AGO","Sweden","2007","-7.21024683485309"
"AGO","UnitedStates","2007","-69"
"AGO","Argentina","2008","6.873"
"AGO","Belgium","2008","0"
"AGO","France","2008","-329.58582048559"
"AGO","Italy","2008","2.44625920093749"
"AGO","Luxembourg","2008","0"
"AGO","Mozambique","2008","0"
"AGO","Portugal","2008","66.9337532500824"
"AGO","Sweden","2008","-1.21375794632155"
"AGO","UnitedStates","2008","77"
"AGO","Argentina","2009","3.016"
"AGO","Belgium","2009","-40.2865624865422"
"AGO","France","2009","22.2270689580923"
"AGO","Italy","2009","65.7921241159531"
"AGO","Luxembourg","2009","0"
"AGO","Mozambique","2009","0"
"AGO","Portugal","2009","160.523892015342"
"AGO","Sweden","2009","-3.65830395802358"
"AGO","UnitedStates","2009",".."
"AGO","Argentina","2010","0.504"
"AGO","Belgium","2010","1.32442437205729"
"AGO","France","2010","-51.6525505102345"
"AGO","Italy","2010","-57.2416213603163"
"AGO","Luxembourg","2010","-7.94654623234377"
"AGO","Mozambique","2010","0.775"
"AGO","Portugal","2010","40.5406300286738"
"AGO","Sweden","2010","0"
"AGO","UnitedStates","2010",".."
"AGO","Argentina","2011","0"
"AGO","Belgium","2011","47.2645633935957"
"AGO","France","2011","79.2376503951456"
"AGO","Italy","2011","-7.673540880372"
"AGO","Luxembourg","2011","2.78026843491739"
"AGO","Mozambique","2011","1.16"
"AGO","Portugal","2011","-145.378846327613"
"AGO","Sweden","2011","0"
"AGO","UnitedStates","2011",".."
"AGO","Argentina","2012","-0.996"
"AGO","Belgium","2012","-12.848615047784"
"AGO","France","2012","44.9701469700139"
"AGO","Italy","2012","-0.83515997810596"
"AGO","Luxembourg","2012","-2.5697230095568"
"AGO","Mozambique","2012","0"
"AGO","Portugal","2012","261.820083413209"
"AGO","Sweden","2012","0"
"AGO","UnitedStates","2012","0"
"ATG","Argentina","2001","0"
"ATG","Bulgaria","2001","0"
"ATG","Cyprus","2001","0"
"ATG","France","2001","0.894846578554107"
"ATG","Italy","2001","0"
"ATG","Luxembourg","2001","0"
"ATG","Slovenia","2001","0"
"ATG","Argentina","2002","0"
"ATG","Bulgaria","2002","0"
"ATG","Cyprus","2002","0"
"ATG","France","2002","1.88226436402993"
"ATG","Italy","2002","0"
"ATG","Luxembourg","2002","-0.941132182014964"
"ATG","Slovenia","2002","0"
"ATG","Argentina","2003","0"
"ATG","Bulgaria","2003","0"
"ATG","Cyprus","2003","0"
"ATG","France","2003","1.12862486089699"
"ATG","Italy","2003","0"
"ATG","Luxembourg","2003","-1.12862486089699"
"ATG","Slovenia","2003","0"
"ATG","Argentina","2004","0"
"ATG","Bulgaria","2004","0"
"ATG","Cyprus","2004","0"
"ATG","France","2004","1.24167303024095"
"ATG","Italy","2004","0"
"ATG","Luxembourg","2004","0"
"ATG","Slovenia","2004","0"
"ATG","Argentina","2005","308.313"
"ATG","Bulgaria","2005","0"
"ATG","Cyprus","2005","0"
"ATG","France","2005","48.500223847187"
"ATG","Italy","2005","0"
"ATG","Luxembourg","2005","0"
"ATG","Slovenia","2005","-1.2435954832612"
"ATG","Argentina","2006","263.954"
"ATG","Bulgaria","2006","0"
"ATG","Cyprus","2006","0"
"ATG","France","2006","0"
"ATG","Italy","2006","0"
"ATG","Luxembourg","2006","0"
"ATG","Slovenia","2006","0"
"ATG","Argentina","2007","-259.976"
"ATG","Bulgaria","2007","0"
"ATG","Cyprus","2007","0"
"ATG","France","2007","0"
"ATG","Italy","2007","0"
"ATG","Luxembourg","2007","0"
"ATG","Slovenia","2007","0"
"ATG","Argentina","2008","53.032"
"ATG","Bulgaria","2008","1.61130845570733"
"ATG","Cyprus","2008","0"
"ATG","France","2008","0"
"ATG","Italy","2008","5.66887611235214"
"ATG","Luxembourg","2008","5.85930347529937"
"ATG","Slovenia","2008","0"
"ATG","Argentina","2009","-8.11"
"ATG","Bulgaria","2009","5.41784805853499"
"ATG","Cyprus","2009","2.93119471884842"
"ATG","France","2009","0"
"ATG","Italy","2009","4.91773900697791"
"ATG","Luxembourg","2009","-1.38919180988077"
"ATG","Slovenia","2009","0"
"ATG","Argentina","2010","9.644"
"ATG","Bulgaria","2010","-1.58930924646875"
"ATG","Cyprus","2010","0"
"ATG","France","2010","0"
"ATG","Italy","2010","0"
"ATG","Luxembourg","2010","1.32442437205729"
"ATG","Slovenia","2010","0"
"ATG","Argentina","2011","-1.895"
"ATG","Bulgaria","2011","-6.99501636883041"
"ATG","Cyprus","2011","0"
"ATG","France","2011",".."
"ATG","Italy","2011","0"
"ATG","Luxembourg","2011","0"
"ATG","Slovenia","2011","0"
"ATG","Argentina","2012","538.842"
"ATG","Bulgaria","2012","0"
"ATG","Cyprus","2012","0"
"ATG","France","2012","0"
"ATG","Italy","2012","0"
"ATG","Luxembourg","2012","0"
"ATG","Slovenia","2012","0"
"ARG","Australia","2001",".."
"ARG","Austria","2001","-1.2536800565543"
"ARG","Belgium","2001","0"
"ARG","Bolivia","2001","99.862"
"ARG","Brazil","2001","10.127"
"ARG","Bulgaria","2001","0"
"ARG","Chile","2001","0"
"ARG","Colombia","2001","3.166"
"ARG","CostaRica","2001","0"
"ARG","Croatia","2001","0"
"ARG","CzechRepublic","2001","0"
"ARG","Denmark","2001","0"
"ARG","Ecuador","2001","63.6975"
"ARG","France","2001","198.655940439012"
"ARG","Germany","2001","-4.47423289277053"
"ARG","Hungary","2001","0"
"ARG","India","2001","0"
"ARG","Italy","2001","4.89660047784807"
"ARG","Japan","2001","0"
"ARG","Korea,Republicof","2001","0"
"ARG","Luxembourg","2001","0"
"ARG","Mexico","2001","9.714"
"ARG","Netherlands","2001","3.57938631421643"
"ARG","Panama","2001","0"
"ARG","Paraguay","2001","20.7845762037983"
"ARG","Peru","2001","0"
"ARG","Poland","2001","2.6897265892922"
"ARG","Portugal","2001","0"
"ARG","Slovakia","2001","0"
"ARG","Spain","2001","-18.7917781496362"
"ARG","Sweden","2001","44.1360815559923"
"ARG","UnitedStates","2001","-172"
"ARG","Uruguay","2001","102.771"
"ARG","Venezuela","2001","38"
"ARG","Australia","2002",".."
"ARG","Austria","2002","0"
"ARG","Belgium","2002",".."
"ARG","Bolivia","2002","31.176"
"ARG","Brazil","2002","84.109"
"ARG","Bulgaria","2002","0"
"ARG","Chile","2002","0"
"ARG","Colombia","2002","21.334"
"ARG","CostaRica","2002","0"
"ARG","Croatia","2002","0"
"ARG","CzechRepublic","2002","0"
"ARG","Denmark","2002","0"
"ARG","Ecuador","2002","4.801"
"ARG","France","2002","-4.70566091007482"
"ARG","Germany","2002","-0.941132182014964"
"ARG","Hungary","2002","0"
"ARG","India","2002","0"
"ARG","Italy","2002","9.53178673944755"
"ARG","Japan","2002","0"
"ARG","Korea,Republicof","2002","0"
"ARG","Luxembourg","2002","0"
"ARG","Mexico","2002","10.582"
"ARG","Netherlands","2002","-5.64679309208978"
"ARG","Panama","2002","0"
"ARG","Paraguay","2002","-1.846"
"ARG","Peru","2002","-29.804"
"ARG","Poland","2002","0"
"ARG","Portugal","2002","0"
"ARG","Slovakia","2002","0"
"ARG","Spain","2002","43.2920803726883"
"ARG","Sweden","2002","0.515542583433294"
"ARG","UnitedStates","2002","581"
"ARG","Uruguay","2002","36.927"
"ARG","Venezuela","2002","-46"
"ARG","Australia","2003",".."
"ARG","Austria","2003","0"
"ARG","Belgium","2003",".."
"ARG","Bolivia","2003","20.35"
"ARG","Brazil","2003","66.602"
"ARG","Bulgaria","2003","0"
"ARG","Chile","2003","0"
"ARG","Colombia","2003","7.655"
"ARG","CostaRica","2003","0.8"
"ARG","Croatia","2003","0"
"ARG","CzechRepublic","2003","0"
"ARG","Denmark","2003","0"
"ARG","Ecuador","2003","6.563"
"ARG","France","2003","-40.6304949922915"
"ARG","Germany","2003","-67.7174916538192"
"ARG","Hungary","2003","0"
"ARG","India","2003","0"
"ARG","Italy","2003","8.14528562109355"
"ARG","Japan","2003","0"
"ARG","Korea,Republicof","2003","0"
"ARG","Luxembourg","2003","3.38587458269096"
"ARG","Mexico","2003","4.385"
"ARG","Netherlands","2003","-1.12862486089699"
"ARG","Panama","2003","5.473"
"ARG","Paraguay","2003","10.5612938575799"
"ARG","Peru","2003","0"
"ARG","Poland","2003","-0.677409929007327"
"ARG","Portugal","2003","3.27414072146216"
"ARG","Slovakia","2003","0"
"ARG","Spain","2003","15.8007480525578"
"ARG","Sweden","2003","-0.5881676415666"
"ARG","UnitedStates","2003","-352"
"ARG","Uruguay","2003","31.23"
"ARG","Venezuela","2003","-40"
"ARG","Australia","2004",".."
"ARG","Austria","2004","0.998305116313721"
"ARG","Belgium","2004",".."
"ARG","Bolivia","2004","29.903"
"ARG","Brazil","2004","78.323"
"ARG","Bulgaria","2004","0"
"ARG","Chile","2004","0"
"ARG","Colombia","2004","0.953"
"ARG","CostaRica","2004","11.9"
"ARG","Croatia","2004","0"
"ARG","CzechRepublic","2004","0"
"ARG","Denmark","2004","0"
"ARG","Ecuador","2004","12.564"
"ARG","France","2004","27.3168066653008"
"ARG","Germany","2004","1.24167303024095"
"ARG","Hungary","2004","0"
"ARG","India","2004","0"
"ARG","Italy","2004","67.5643962675309"
"ARG","Japan","2004","0"
"ARG","Korea,Republicof","2004","0.588"
"ARG","Luxembourg","2004","6.20836515120473"
"ARG","Mexico","2004","11.604"
"ARG","Netherlands","2004","6.20836515120473"
"ARG","Panama","2004","13.974"
"ARG","Paraguay","2004","-7.40266333727973"
"ARG","Peru","2004","0"
"ARG","Poland","2004","-2.47530695662742"
"ARG","Portugal","2004","0"
"ARG","Slovakia","2004","0"
"ARG","Spain","2004","-73.2587087842159"
"ARG","Sweden","2004","0"
"ARG","UnitedStates","2004","-49"
"ARG","Uruguay","2004","28.437"
"ARG","Venezuela","2004","-139"
"ARG","Australia","2005",".."
"ARG","Austria","2005","0"
"ARG","Belgium","2005",".."
"ARG","Bolivia","2005","55.093"
"ARG","Brazil","2005","104.02"
"ARG","Bulgaria","2005","0"
"ARG","Chile","2005","0"
"ARG","Colombia","2005","3.127"
"ARG","CostaRica","2005","3.6"
"ARG","Croatia","2005","0"
"ARG","CzechRepublic","2005","0"
"ARG","Denmark","2005","-107.055133393698"
"ARG","Ecuador","2005","1.723"
"ARG","France","2005","-38.5514599810974"
"ARG","Germany","2005","14.9231457991345"
"ARG","Hungary","2005","0"
"ARG","India","2005","0"
"ARG","Italy","2005","17.9214545092772"
"ARG","Japan","2005","3.80046816309496"
"ARG","Korea,Republicof","2005","0"
"ARG","Luxembourg","2005","481.271452022086"
"ARG","Mexico","2005","542.331"
"ARG","Netherlands","2005","0"
"ARG","Panama","2005","0"
"ARG","Paraguay","2005","13.531"
"ARG","Peru","2005","0"
"ARG","Poland","2005","-1.2435954832612"
"ARG","Portugal","2005","2.93985972242949"
"ARG","Slovakia","2005","0"
"ARG","Spain","2005","7.46157289956723"
"ARG","Sweden","2005",".."
"ARG","UnitedStates","2005","-94"
"ARG","Uruguay","2005","105.565"
"ARG","Venezuela","2005","-102"
"ARG","Australia","2006",".."
"ARG","Austria","2006","0"
"ARG","Belgium","2006",".."
"ARG","Bolivia","2006","25.214"
"ARG","Brazil","2006","122.227"
"ARG","Bulgaria","2006","0"
"ARG","Chile","2006","113"
"ARG","Colombia","2006","14.613"
"ARG","CostaRica","2006","10.6"
"ARG","Croatia","2006","0"
"ARG","CzechRepublic","2006",".."
"ARG","Denmark","2006","-43.2166651532426"
"ARG","Ecuador","2006","2.902"
"ARG","France","2006","11.2903488843254"
"ARG","Germany","2006","-1.25448320936948"
"ARG","Hungary","2006","0"
"ARG","India","2006","0"
"ARG","Italy","2006","10.9566563506331"
"ARG","Japan","2006","18.6241498207207"
"ARG","Korea,Republicof","2006","0"
"ARG","Luxembourg","2006","8.78138246558639"
"ARG","Mexico","2006","24.502"
"ARG","Netherlands","2006","0"
"ARG","Panama","2006","-151.983"
"ARG","Paraguay","2006","21.616"
"ARG","Peru","2006","1.222"
"ARG","Poland","2006","-7.27600261434301"
"ARG","Portugal","2006","0"
"ARG","Slovakia","2006","0"
"ARG","Spain","2006","-70.2510597246911"
"ARG","Sweden","2006",".."
"ARG","UnitedStates","2006","107"
"ARG","Uruguay","2006","281.88"
"ARG","Venezuela","2006","10"
"ARG","Australia","2007",".."
"ARG","Austria","2007","-19.8456691275296"
"ARG","Belgium","2007","0"
"ARG","Bolivia","2007","-10.466"
"ARG","Brazil","2007","31.383"
"ARG","Bulgaria","2007","0.958066785466948"
"ARG","Chile","2007","281"
"ARG","Colombia","2007","4.326"
"ARG","CostaRica","2007","1.124"
"ARG","Croatia","2007","0"
"ARG","CzechRepublic","2007",".."
"ARG","Denmark","2007","4.77616327130444"
"ARG","Ecuador","2007","3.645"
"ARG","France","2007","16.4240020365763"
"ARG","Germany","2007","-52.0093397824915"
"ARG","Hungary","2007","0"
"ARG","India","2007","0"
"ARG","Italy","2007","13.1871049685343"
"ARG","Japan","2007","40.993511897685"
"ARG","Korea,Republicof","2007","0"
"ARG","Luxembourg","2007","1.36866683638135"
"ARG","Mexico","2007","25.481"
"ARG","Netherlands","2007","0"
