"area","Reporting Economy","Year","value"
"ATG","Italy","2008","0"
"ATG","Slovenia","2008","0"
"ATG","UnitedStates","2008","3"
"ATG","Argentina","2009","531.974"
"ATG","Bulgaria","2009","7.28655703697301"
"ATG","Cyprus","2009","3.03966693317775"
"ATG","Italy","2009","5.2149736009969"
"ATG","Slovenia","2009","0"
"ATG","UnitedStates","2009","3"
"ATG","Argentina","2010","505.847"
"ATG","Bulgaria","2010","6.75849923368934"
"ATG","Cyprus","2010","0"
"ATG","Italy","2010","9.580553480734"
"ATG","Slovenia","2010","0"
"ATG","UnitedStates","2010","3"
"ATG","Argentina","2011","465.409"
"ATG","Bulgaria","2011","0"
"ATG","Cyprus","2011","0"
"ATG","Italy","2011","9.66543616736343"
"ATG","Slovenia","2011","0"
"ATG","UnitedStates","2011","3"
"ATG","Argentina","2012","899.773"
"ATG","Bulgaria","2012","0"
"ATG","Cyprus","2012","0"
"ATG","Italy","2012","0"
"ATG","Slovenia","2012","0"
"ATG","UnitedStates","2012","3"
"ARG","Belgium","2001","0"
"ARG","Brazil","2001","0"
"ARG","Bulgaria","2001","0"
"ARG","Cambodia","2001","0.964"
"ARG","Canada","2001",".."
"ARG","Chile","2001","0"
"ARG","CzechRepublic","2001",".."
"ARG","Denmark","2001","0"
"ARG","Estonia","2001","0"
"ARG","France","2001","235.306559500833"
"ARG","Germany","2001","25.5576412940979"
"ARG","Hungary","2001","0"
"ARG","Italy","2001","118.975226713904"
"ARG","Korea,Republicof","2001","0"
"ARG","Mexico","2001","0"
"ARG","Netherlands","2001","14.9820655861953"
"ARG","Norway","2001","0"
"ARG","Panama","2001","0"
"ARG","Paraguay","2001","158.831823113407"
"ARG","Peru","2001","58.354"
"ARG","Poland","2001","8.39317000931288"
"ARG","Portugal","2001","0"
"ARG","SaudiArabia","2001","0"
"ARG","Slovakia","2001","0"
"ARG","SouthAfrica","2001","5.27769760442007"
"ARG","Spain","2001","0"
"ARG","UnitedStates","2001","402"
"ARG","Uruguay","2001","0"
"ARG","Venezuela","2001","1067.695217"
"ARG","Belgium","2002","0"
"ARG","Brazil","2002","0"
"ARG","Bulgaria","2002","0"
"ARG","Cambodia","2002","0.964"
"ARG","Canada","2002","3.79842998227399"
"ARG","Chile","2002","0"
"ARG","CzechRepublic","2002",".."
"ARG","Denmark","2002","0"
"ARG","Estonia","2002",".."
"ARG","France","2002","191.912009916503"
"ARG","Germany","2002","32.509684739954"
"ARG","Hungary","2002","0"
"ARG","Italy","2002","130.038738959816"
"ARG","Korea,Republicof","2002","0"
"ARG","Mexico","2002","0"
"ARG","Netherlands","2002","3.14609852322135"
"ARG","Norway","2002","0"
"ARG","Panama","2002","0"
"ARG","Paraguay","2002","55.414"
"ARG","Peru","2002","28.55"
"ARG","Poland","2002","7.47469271486342"
